epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.73,0,41.5145,0,0,0,0,0,0.03732,0.03516,0.02814,0.000555198,0.000555198,0.000555198
2,478.049,0,0.07103,0,0,0,0,0,0.03913,0.05211,0.05124,0.00106687,0.00106687,0.00106687
3,702.917,0,0,0,0,0,0,0,0.02893,0.05654,0.03436,0.00153454,0.00153454,0.00153454
4,921.739,0,0,0,0,0,0,0,0.04146,0.05808,0.04531,0.00146896,0.00146896,0.00146896
5,1145.05,0,0,0,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
6,1369.28,0,0,0,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
7,1598.12,0,0,0,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
8,1828.69,0,0,0,0,0,0,0,0,0.01133,0,0.00120491,0.00120491,0.00120491
9,2059.04,0,0,0,0,0,0,0,0,0.00076,0,0.00113889,0.00113889,0.00113889
10,2278.26,0,0,0,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
11,2501.89,0,0,0,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
12,2724.79,0,0,0,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
13,2946.51,0,0,0,0,0,0,0,0,35.7037,0,0.000874842,0.000874842,0.000874842
14,3169,0,0,0,0,0,0,0,0,103.825,0,0.000808828,0.000808828,0.000808828
15,3391.79,0,0,0,0,0,0,0,0,57.5447,0,0.000742815,0.000742815,0.000742815
16,3637.01,0,0,0,0,0,0,0,0,20.0662,0,0.000676802,0.000676802,0.000676802
17,3857.05,0,0,0,0,0,0,0,0,4.39302,0,0.000610789,0.000610789,0.000610789
18,4075.24,0,0,0,0,0,0,0,0,0.13679,0,0.000544776,0.000544776,0.000544776
19,4293.85,0,0,0,0,0,0,0,0,nan,0,0.000478762,0.000478762,0.000478762
20,4512.37,0,2e-05,0,0,0,0,0,0,1e-05,0,0.000412749,0.000412749,0.000412749
21,4730.73,0,0,0,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
22,4947.72,0,0,0,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
23,5163.02,0,0,0,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
24,5377.67,0,0,0,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
25,5591.93,0,0,0,0,0,0,0,0,0,0,8.26832e-05,8.26832e-05,8.26832e-05
